activation_stage_14d,users_c1,users_c5,purchase_rate_180d_c1,purchase_rate_180d_c5,avg_revenue_180d_c1,avg_revenue_180d_c5,retention_last_week_c1,retention_last_week_c5,purchase_rate_lift_abs,avg_revenue_lift_abs,retention_last_week_lift_abs,purchase_rate_lift_ratio,avg_revenue_lift_ratio,retention_last_week_lift_ratio
A0_no_activity,1211,198,0.014863748967795215,0.35858585858585845,3543.3526011560693,110716.21111111107,0.2345169281585468,0.48484848484848486,0.34372210961806327,107172.858509955,0.25033155668993806,23.124859708193028,30.24617377197751,1.0674349125053337
A1_view,1326,1087,0.059577677224736017,0.69825206991720368,11230.586726998486,246750.43330266769,0.25791855203619912,0.80680772769089237,0.63867439269246762,235519.84657566922,0.5488891756546932,10.720028414053322,20.971286033478219,2.1281492599945122
A2_click,2213,2439,0.16538635336647076,0.81344813448134445,34906.950745594186,294891.19323493209,0.40894713059195592,0.86264862648626417,0.64806178111487367,259984.24248933789,0.45370149589430825,3.9184719169596072,7.44792188765305,1.1094380225570231
A3_add_to_cart,637,920,0.20094191522762939,0.83586956521739109,35849.786185243334,304259.36967391346,0.42543171114599682,0.86630434782608678,0.6349276499897617,268409.58348867012,0.44087263668008997,3.1597571331521754,7.4870623244931425,1.0362947216428684
A4_checkout,150,381,0.29333333333333333,0.83989501312336,65812.479999999967,320750.86167979008,0.52666666666666662,0.89501312335958016,0.54656167979002668,254938.38167979009,0.36834645669291355,1.8632784538296363,3.8737087810669073,0.69939200637894983
A5_purchase,356,873,1.0,1.0,191808.98876404483,454023.54570446711,0.4297752808988764,0.89919816723940538,0.0,262214.55694042228,0.469422886340529,0.0,1.3670608381288498,1.0922519446877668
